"","Score","Tweet","Continent"
"2423",2,"I want to change my iphone for a galaxy s4","Europe"
"2424",4,"Samsung Galaxy S4 16GB Black Mist Perfect condition Used for 1 week 20000 0 Bids End Date Monday httptcoH3mjJDWrHQ","Europe"
"2425",0,"SGS4 external outdoor charger httptcocbmmRjGmZY","Asia"
"2426",0,"White or red galaxy s4 Hmm","Europe"
"2427",0,"Higher capacity battery with rear cover for Galaxy S4 httptcovHtAElkVNJ","Europe"
"2428",0,"3D Despicable God Steal Dad Silicone Case Cover For Samsung Galaxy S4 i9500 Blue 731 httptcooPmXn4zrjf CellPhone Smartphone","Asia"
"2429",0,"AJ think he doing something w his galaxy S4 Chyy","Europe"
"2430",0,"SGS4 MHL converter the euphoria of Angry Birds on the HDTV httptcoDnqQ5Mcgs2","NorthAmerica"
"2431",0,"Samsung Galaxy S 4 SGHM919N Smartphone Cellphone Used Metro PCS S4 White 29900 0 Bids End Date httptcoJaGCe3bddq","Asia"
"2432",4,"That advertising The Galaxy S4 I need one in my life Its gonna be on my Christmas List","Asia"
"2433",1,"BigAMoley I like the galaxy s4","Asia"
"2434",5,"Going to see if VodafoneUK will give me an early upgrade as I want an S4 and Galaxy Gear","Asia"
"2435",1,"evia1106 Samsung Galaxy S4 VS LG G2 Specs Of Two Of Most Popular AndroidPowered Handsets Pitted Processor Memory S httptcoT0","Europe"
"2436",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoi3O5gy4kiN","NorthAmerica"
"2437",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoDsE86JCKNo","Europe"
"2438",0,"Charlie Brown Christmas Samsung Galaxy S3S4 iPod 45 Case Choose the option httptco1bi5pQ79j8","Europe"
"2439",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract price likely won httptcoC0gyYjc02N","Asia"
"2440",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract price likely won httptcoL17vw9z91c","Europe"
"2441",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract price likely won httptco7khwqqOlxx","NorthAmerica"
"2442",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract price likely won httptcozhvOSRrglz","Asia"
"2443",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcok3pam2L2Gd","Europe"
"2444",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoasjquV40Ef","Asia"
"2445",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract pr httptcoShmywzZXvl android tech","Europe"
"2446",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoz8pCKZlPH7","Asia"
"2447",0,"Galaxy S4 and Htc One are 096cents with 2 year activation SamsClub BlackFriday","NorthAmerica"
"2448",2,"Im no longer an Iphone girl Loving my new Galaxy S4 Phonesnob","Asia"
"2449",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoumCP8QGthu","Asia"
"2450",1,"Android US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoc2VJdKUMvF","Europe"
"2451",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoHa05mGUSZc","Asia"
"2452",1,"US Cellular Quietly Releases The Samsung Galaxy S4 Mini 50 OnContract 500 Unsubsidized httptcorK06ArzZa4","Europe"
"2453",2,"SoJasminSaid lol naa a galaxy s4 Not lucky to have iMessage like yall Just text loll","NorthAmerica"
"2454",1,"US Cellular now offering GalaxyS4Mini for 50 oncontract Ludicrous 500 offcontract price likely wont httptcoumWH7VQOcT","NorthAmerica"
"2455",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoItdc2GeJk1 androidcentral","Europe"
"2456",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcopXp4mijXL8","Asia"
"2457",1,"Android News US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcorYuQ6uzMqA","NorthAmerica"
"2458",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract price likely wont en httptco1UlGVqOkzI","NorthAmerica"
"2459",3,"Just bought a Samsung galaxy s4 for 1 cent lol ","NorthAmerica"
"2460",0,"US Cdns Enter to win a Pelican ProGear Galaxy S4 protector case httptcohvfoIurUE6 ParentClub giveaway httptco9IZSpAozFP","Europe"
"2461",1,"US Cellular now offering GalaxyS4Mini for 50 oncontract httptcozYfclkBOCS","Asia"
"2462",1,"US Cellular now offering Galaxy S4 Mini for 50oncontract httptcovMoxSy4cDz","NorthAmerica"
"2463",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcojYSQmxn7nO android technology","Europe"
"2464",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptco8HaM3BkoXm","NorthAmerica"
"2465",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoXyMUC2aNGA Tech","Asia"
"2466",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoZSBIo4rrQy","Asia"
"2467",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoA4GkJ3O2st galaxys4mini SamsungGalaxyS4Mini Smartphones","NorthAmerica"
"2468",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoXBFZpYWll8","Asia"
"2469",0,"Bye bye blackberry bold Hello samsung galaxy s4 mini itsaboutdamntime","NorthAmerica"
"2470",0,"Youll find great PayMonthly deals here Samsung Galaxy S4 See deals now httptcoJzluS0sRuB","Asia"
"2471",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract httptcox6ExWjJ5vz xoopia android","NorthAmerica"
"2472",0,"Galaxy SIV external outdoor USB charger httptcoMmKI3xOUYu","NorthAmerica"
"2473",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract price likely httptcoJDcS5kzjSe android","Asia"
"2474",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcoqTJahOiZUA","Asia"
"2475",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcotVItzUkisb via androidcentral Android","Asia"
"2476",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcopQfjZ4OQVW gadget news","Europe"
"2477",3,"I just asked for a Galaxy S4 watch for christmas Santa better be on his A game this year","NorthAmerica"
"2478",4,"Samsung Galaxy S4 ATT Red 25500 24 Bids End Date Sunday Nov242013 192723 PST Buy It Now for only httptcoeJsMTk9SBp","NorthAmerica"
"2479",0,"Rapid Vehicle DC CAR Cell Phone Battery CHARGER 4 Samsung GALAXY S4 ACTIVE i537 099 0 Bids End Date Sunday httptcoafzAueJB97","Europe"
"2480",3,"Someone wanna trade there galaxy s4 for an iphone 5","NorthAmerica"
"2481",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract Ludicrous 500 offcontract price likely wont en httptcoKc0mieX708","NorthAmerica"
"2482",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptco9fOjtypCQo tech galaxy google","Asia"
"2483",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptco9KlUNWaqwe Android News","Europe"
"2484",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcov0nWuKkKcB","Asia"
"2485",1,"Samsung Galaxy S4 VS LG G2 Specs Of Two Of Most Popular AndroidPowered Handsets Pitted Processor Memory httptcop5UrWelxXB","NorthAmerica"
"2486",1," httptcoWhYsahxEkl 95 Dr Who Google pays tribute to Dr Who with logo samsung galaxy s4 vs htc one unfortunately google play st","Europe"
"2487",0,"Samsung Galaxy S4 MHL adapter the bliss of Angry Birds on the big screen httptcoUMjhxpups8","Asia"
"2488",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptco6vPsE1LTgc","Asia"
"2489",0,"Can Androids group message or no Cause if so I want the Galaxy S4 lol","Europe"
"2490",-1,"Thinking about switching to the Samsung Galaxy s4","Asia"
"2491",1,"Samsung Galaxy S4 VS LG G2 Specs Of Two Of Most Popular AndroidPowered Handsets Pitted Processor Memory Screen Resolution Etc ht","NorthAmerica"
"2492",1,"LuguLake 6000mAh Qi Enabled Inductive Wireless Charger For Samsung NOTE 3 Galaxy S4 etc httptcojSyp23b5bI","Asia"
"2493",0,"This Galaxy S4 is wavey ","NorthAmerica"
"2494",0,"Dont know if i should get the samsung galaxy s4 or iphone 5s","Europe"
"2495",1,"Samsung Galaxy S4 desktop cradle perfect for bedside tables and work desks httptco5q2DWPvLwE","Asia"
"2496",0,"Cute Jewelry Design Home Button Sticker f Samsung Galaxy Cores3s4 Note2 Note3 699 httptcoaop9Yp55Qz cellphone cell","Asia"
"2497",0,"I liked a YouTube video from zedomax httptcoRIth9SUemi Gummy ROM with Android 44 KitKat for Galaxy S4","NorthAmerica"
"2498",2,"karamariee nobitch galaxy s3 bc dad wouldnt buy me and s4 even though thats what I asked for","Asia"
"2499",5,"Get the my iPhone 5c back or wait one more month for the galaxy s4 idk what to do","Asia"
"2500",0,"smokndopeness should I buy the galaxy s4 ","Europe"
"2501",2,"The New Samsung Galaxy S4 Roundup Smartphone and Its Features httptcoFIp45cgqdB DeviceGadgets","NorthAmerica"
"2502",0,"I will never go back to the iPhone galaxy s4","Europe"
"2503",-1,"bellllaxoxo RicadoSuarez I dont know if I should get the iPhone 5s or the galaxy s4 My lifeits so hard to choose ","Asia"
"2504",1,"Finally on this galaxy s4 swag aka I have no idea how to work my phone","NorthAmerica"
"2505",0,"should I buy the galaxy s4 ","NorthAmerica"
"2506",0,"Galaxy S4 is a piece of Shit Keeps on freezing","NorthAmerica"
"2507",1,"Your Galaxy S4 can control your tv now SICK OR YOU COULD USE YOUR FUCKING REMOTE","Europe"
"2508",0,"RicadoSuarez I dont know if I should get the iPhone 5s or the galaxy s4 My life","Asia"
"2509",0,"I dont know if I should get the iPhone 5s or the galaxy s4","NorthAmerica"
"2510",0,"kerenanabel because I can duh I have the iPhone Galaxy S4","Asia"
"2511",0,"I have the galaxy S3 should i get the 5S or the S4 ","Asia"
"2512",0,"About to get a Galaxy S4 wootwoot","NorthAmerica"
"2513",1,"Samsung Galaxy S4 MHL adapter the euphoria of your photo gallery on the HDTV httptcomU1QHb9dnG","Asia"
"2514",2,"MichaelPyo10 galaxy s4 so same deal with mine Really pisses me off because even when you send them through text its not the same ","Asia"
"2515",4,"Galaxy s4 Nahh that lasted 5 minutes Give me back my iPhone","Asia"
"2516",0,"9 Tech Armor Samsung Galaxy S4 SIV Premium High Definition HD Clear Screen Protectors with Lifetime httptcoZ1Nune87NC","NorthAmerica"
"2517",1,"In other news my nine year old cousin got a samsung galaxy s4 today","Asia"
"2518",0,"Higher capacity battery with cover for Samsung Galaxy S4 httptcoWXQJIAn7AF","NorthAmerica"
"2519",0,"I swear ima the galaxy s4 active in jan","NorthAmerica"
"2520",0,"I want the galaxy S4","Asia"
"2521",0,"Otterbox Commuter hard case for Samsung Galaxy SIV httptcoghsID4BjE8","Asia"
"2522",0,"After hands on time with the Galaxy S4 going back to my S2 is painful NeedAnUpgrade","Asia"
"2523",2,"Galaxy S4 for 96 Count it","Europe"
"2524",2,"I cant wait till I get my galaxy s4","Asia"
"2525",0,"Getting a galaxy s4 on Friday HALP","Asia"
"2526",0,"JuventusWAR DavidAmoyal I didnt actually write check out just copy link from Twitter function on galaxy s4 still not used to it","Europe"
"2527",0,"You can control the new S4 with your eyes httptcotG5MYT7NBD","NorthAmerica"
"2528",0,"Samsung Galaxy S4 MHL converter the euphoria of Fruit Ninja on the big screen httptcoEKt9S1doE4","Asia"
"2529",1,"That galaxy S4 is making want to give up that iPhone life","Asia"
"2530",2,"Give up Samsung No one wants a Galaxy S4 AMAs","Europe"
"2531",3,"Samsung Galaxy S4 free at Best Buy or Walmart on Black Friday Thats free as long the buyer signs up for httptco0NyE6F6itV","Europe"
"2532",2,"The new Galaxy S4 is cccraaaaaazzzyyy i think thats whaa its called","Europe"
"2533",2,"Stereo Sports Bluetooth Earphone Headphone for IPHONE 5S5C GALAXY NOTE 3 S4 MP3 Price 1379 USD 0 Bids End httptco1ypvhl2puZ","NorthAmerica"
"2534",1,"LexiiiHoanggg Saaame But sometimes Lol because I saw the Galaxy s4 commercial and it was so weird","Asia"
"2535",0,"the amas are promoting the galaxy s4 butthe founder uses the iphonethe hosts use the iphonethe award uses the iphone","Europe"
"2536",0,"My moms mind was blown by that Galaxy S4 watch ","Asia"
"2537",4,"Samsung Galaxy S4 Verizon is on sale for 50 on Amazon for existing customes Just scored one samsunggalaxys4","Europe"
"2538",1,"US Cellular now offering Galaxy S4 Mini for 50 oncontract httptcouaIUmpP1s7 android","Europe"
"2539",3,"ankitv I am gng to buy a top end smartphone next yrWhich 1 shld I go forHTC one galaxy s4 lg g2xperia z1 plz suggest me","Asia"
"2540",3,"Just got so turned up after watching the samsung galaxy s4 commercial Love my phone 3","Asia"
"2541",1,"What say wordword Samsung galaxy S4 has the gear now thats on my next to get list","Asia"
"2542",3,"New color options for phone pouch now in oxblood Available for iphones nexus4 samsung s4 galaxy note etc httptcosspLgPGWom","NorthAmerica"
"2543",-1,"My mom will forever take forever to figure out how to use her new Galaxy S4","NorthAmerica"
"2544",3,"Samsung Galaxy S4 advertising itself as if it were an Oscar bait movie blurbing positive reviews amid key product features AMAs","NorthAmerica"
"2545",3,"That SamsungMobile galaxy s4 commercial got me like what is an iPhone ","NorthAmerica"
"2546",0,"I want the Galaxy S4 stahp iwantit phone","NorthAmerica"
"2547",2,"Is it sad that I just saw a commercial on the Galaxy S4 and learned how to use my phone mindblown","NorthAmerica"
"2548",1,"SpotifyCares ALL playback not specific tracks At least I havent found that to be the case Having trouble with the app on my Galaxy S4","Europe"
"2549",0,"Over here mad bcuzI WANT A GALAXY S4","Europe"
"2550",0,"My grandma has a Galaxy S4 Im Done","NorthAmerica"
"2551",0,"Galaxy s4 active 4 sale 350 httptcoReYtj8BQcI","NorthAmerica"
"2552",0,"TeamiPhone but i lowkey want a Galaxy S4","Asia"
"2553",0,"I want a Galaxy s4 so bad the watch just so I could be like futuristic nshit","NorthAmerica"
"2554",2,"You know youre big when Samsung quotes your Galaxy S4 review in its TV spot businessinsider AMAs","NorthAmerica"
"2555",0,"Yeah Fuck a iPhone 5 I need to stay with the galaxy fam and get a s4 TheNextBigThing","NorthAmerica"
"2556",4,"Just saw an awesome galaxy s4 commercial and was like bitch I got that","Europe"
"2557",-1,"I want the galaxy s4 with the watch","Asia"
"2558",1,"I Cant Front I Was Like This During The Galaxy S4 Commercial","Asia"
"2559",1,"RespectMyCurvez I love my Galaxy S4 dont brag","Asia"
"2560",1,"Please act like yall know GALAXY S4 is where its at baby","Europe"
"2561",4,"I thought was not gonna like my I phone after I saw all that my brothers galaxy s4 could do","NorthAmerica"
"2562",1,"I want a galaxy s4 Tired of this iphone 5 ","Asia"
"2563",0,"peta just replied P I HOPE MY OWNER IS IN Galaxy S4 or maybe even iphone 5S wishlist","Europe"
"2564",2,"My parents for real drove to Lubbock today to buy the Galaxy s4 for 96 cents","NorthAmerica"
"2565",1,"I must admit the Samsung Galaxy S4 looks real good","Asia"
"2566",1,"Phones like the Galaxy S4 are the reason bitches get in trouble Thats TOO advanced of technology","NorthAmerica"
"2567",6,"The commercial for the samsung galaxy s4 has me sold I kinda wanna trade my iPhone 5c for it hmmmm","Europe"
"2568",0,"People promoting this Galaxy S4 sooo hard But it does look really amazing","NorthAmerica"
"2569",0,"How friends will I lose if I go team galaxy s4","Asia"
"2570",-1,"Im team iPhone but the Galaxy S4 is way better I have to admit","Asia"
"2571",3,"All these Galaxy S4 commercials make me want to keep my phone","Europe"
"2572",2,"Galaxy S4 looks really cool how cool Try amazing teehee","NorthAmerica"
"2573",0,"I would look like a damn fool with the Galaxy S4 watch on","Europe"
"2574",-1,"Galaxy S4 iPhone aint fucking with us","NorthAmerica"
"2575",0,"I want a Samsung galaxy S4 active for christmas That way I can tweet while in the shower lol","NorthAmerica"
"2576",1,"SEEING THAT COMMERCIAL JUST MAKES ME WANT TO GET A GALAXY S4","NorthAmerica"
"2577",1,"The galaxy S4I want","Asia"
"2578",2,"Galaxy S4 in one hand The LG 4G in the other","NorthAmerica"
"2579",1,"if I got that galaxy s4 bracelet people would think Im crazy talking into my wrist watch","NorthAmerica"
"2580",1,"Idk if i want the iPhone 5 or galaxy s4 ","NorthAmerica"
"2581",1,"Im getting the Galaxy S3 for Christmas but I want the S4 boo","Asia"
"2582",4,"Nobody told me my phone could do all that Galaxy s4 for the win","Asia"
"2583",2,"commercial for the galaxy s4 yeaaaa bitches I have that phone and i love itttt","Europe"
"2584",3,"i would say that the galaxy s4 is awesome but all that shit is just gimmicks for the wow factor","Europe"
"2585",0,"I need to the new Galaxy S4","NorthAmerica"
"2586",1,"someone get me the galaxy S4","Asia"
"2587",2,"Samsung Galaxy S4 makes me want to buy it but I cant","Europe"
"2588",1,"The galaxy s4 looks sick","Europe"
"2589",3,"Alright even though I want an iPhone the Galaxy S4 is an amazingly cool phone","Asia"
"2590",0,"I really want the galaxy s4","Europe"
"2591",1,"I cant wait til the galaxy s5 drops so I can get the s4 for the low","NorthAmerica"
"2592",0,"GALAXY S4 LOOKS SO COOL I WANT ONE","NorthAmerica"
"2593",2,"Love my S4 but its a learning curve httptcoORxMqzjgYe","Europe"
"2594",1,"Well My cell is broken and this does not help one bit My Galaxy S4 Well I am happy that I am on Gods side httptcokuje6O4lE2","NorthAmerica"
"2595",1,"I love my Galaxy S4","Europe"
"2596",0,"A watch with the Galaxy S4 ","Asia"
"2597",2,"Im thinking of getting the galaxy s4 and then remember that its too confusing","Asia"
"2598",0,"I really want the galaxy s4","Asia"
"2599",1,"Everyones probably gonna get the Galaxy S4 because of that watch","NorthAmerica"
"2600",0,"I want the galaxy S4","Europe"
"2601",-1,"i want the galaxy s4 so bad ","Asia"
"2602",2,"The galaxy s4 commercials are my favorite because I always find out new things I can do on my phone","Asia"
"2603",1,"Thats right Samsung Galaxy S4 commercial ","Europe"
"2604",2,"I just learned how to do something on my work phone because of that Samsung Galaxy S4 Commercial","NorthAmerica"
"2605",0,"I just want the Galaxy s4","NorthAmerica"
"2606",2,"Commercial for Galaxy s4 I might be getting an s4 mini in a month wey hey","Asia"
"2607",2,"Just saw a commerical of my phone Galaxy s4","Asia"
"2608",0,"stupid galaxy s4 commercial making me feel bad that i broke mine","Asia"
"2609",0,"looooove iPhones but kudos to the galaxy s4 ","Europe"
"2610",0,"I love how Samsung is promoting the s4 as if the next Galaxy S wont be out in 4 months","NorthAmerica"
"2611",0,"Still debating if I want the galaxy s4","Europe"
"2612",0,"Galaxy S4 looks awesome","NorthAmerica"
"2613",0,"Galaxy s4 and all other past galaxies and further ones belong in the burnbox","NorthAmerica"
"2614",2,"i like this song for the galaxy s4 commercial","NorthAmerica"
"2615",0,"That Galaxy S4 is looking mighty delish","NorthAmerica"
"2616",0,"the galaxy s4 is a waste of space","Asia"
"2617",1,"3D Luxury FairyTale Hello Kitty White Flower Design Case For Samsung Galaxy S4 Price 125 USD 3 Bids End httptcop9vLnUnazn","Asia"
"2618",1,"Dont listen to that commercial the galaxy s4 is trashhhhhhhh","Europe"
"2619",1,"Some black friday deals start tomorrow idk if i should get the galaxy s4 or iphone 5c","NorthAmerica"
"2620",0,"i have the galaxy s4 no big deal","Europe"
"2621",0,"why do i have a shitty phone i want a galaxy s4","Asia"
"2622",2,"fuck the galaxy s4 I like my iphone","Europe"
"2623",0,"My Galaxy s4 doe ","Europe"
"2624",1,"HaydenWaggoner my galaxy s4 is amazing","NorthAmerica"
"2625",4,"tanishababyy I automatically hate my Galaxy S4 now that Ive seen what the Galaxy Note 3 can do And I love my Galaxy Note 3","NorthAmerica"
"2626",0,"WonderlessKitty Galaxy S3 batteries are shit Galaxy S3 S4 suck period","NorthAmerica"
"2627",1,"I want a samsung galaxy s4 than an iphone ","Asia"
"2628",1,"RocStarP Black Friday All Cricket Smart Phones are HALF PRICE Thats including the Galaxy S4 at TR Wireless 7225 Rising Sun Ave","NorthAmerica"
"2629",1,"OtterBox Defender Series Case and Holster for Samsung Galaxy S4 Retail Packaging Black 2499 httptcoXAnzRDSgFm","Asia"
"2630",1,"Put up with that iphone 5 for over a month and had to go back to android so welcome galaxy s4 httptco45ZaaP2EaM","Europe"
"2631",2,"tanishababyy I automatically hate my Galaxy S4 now that Ive seen what the Galaxy Note 3 can do ","NorthAmerica"
"2632",0,"SGS4 MHL converter the euphoria of Fruit Ninja on the big screen httptcoDIdGATBdE9","NorthAmerica"
"2633",2,"I automatically hate my Galaxy S4 now that Ive seen what the Galaxy Note 3 can do ","Asia"
"2634",0,"Verizon samsung galaxy s4 Price 390 USD 33 Bids End Time 20131125 214437 PDT httptcoaXaFHgWAXM","Asia"
"2635",1,"5pcs yellow NFC Tags for Samsung Galaxy S4 GS4 NTAG203all others 1356 MHz 099 httptcolxJEH2NHew phone cellphone","Europe"
"2636",2,"Should I get a galaxy s3s4 or iPhone 4s5 the world may never know Probably which ever one I find on craigslist for a decent price first","NorthAmerica"
"2637",1,"Galaxy S4 desktop charger perfect for bedside tables and work desks httptcodxZSuWkutP","Europe"
"2638",-1,"Shopping around Handsets on Vodafone Galaxy S4 Mini Mix match deals httptcoJzluS0sRuB","NorthAmerica"
"2639",2,"A galaxy s4 hornin me tho ","Europe"
"2640",1,"Yup Thats me root android samsung galaxy s4 s4active httptco93pe3k02GU","NorthAmerica"
"2641",1,"Otterbox Defender Series protective case for Samsung Galaxy S4 httptcoe4n5iUzsxV","Asia"
"2642",1,"I am in line at Sams to get a 96 cents Samsung Galaxy S4 Someone remind me how much money Im httptcoWEG5o7Gcqw","Asia"
"2643",0,"Glaxy S4 leather flip case orange httptcoLGvbnywfxJ","Europe"
"2644",2,"maceygraf galaxy s4 mini I love it so much 3","NorthAmerica"
"2645",1,"Otterbox Commuter Series protective case for SGS4 httptcoE9mTzGaxuD","Asia"
"2646",1,"Took the back cover off my phone Its slippery big and awkward holding this Galaxy S4 by itself now But its so pretty","Europe"
"2647",0,"Apparently you can go to Sams club RIGHT NOW and get MY PHONE Samsung Galaxy S4 FOR 96 CENTS","Europe"
"2648",1,"isCharley Galaxy Get the s4 or note3","Europe"
"2649",1,"Samsung Galaxy S4 free at Best Buy or Walmart on Black Friday ","Europe"
"2650",1,"Otterbox Defender Series protective case for Galaxy S4 httptcoE8C6YPvc4M","Asia"
"2651",1,"Want to own the latest mobile phone Samsung Galaxy S4 Mini DoItNow httptcoJzluS0sRuB","NorthAmerica"
"2652",1,"Kesha built like a galaxy s4","Europe"
"2653",3,"No team iphone for me Team galaxy baby S4","Asia"
"2654",2,"Just got a samsung galaxy s4 and its pretty fucking awesome","NorthAmerica"
"2655",1,"Samsung Galaxy S4 desktop charger perfect for bedside tables and office desks httptcodXjWqFU7U3","Europe"
"2656",0,"I need a new phone already idk if I should get the iPhone or galaxy s4","Asia"
"2657",0,"In love with my galaxy s4","Asia"
"2658",2,"Im debating if I should give my galaxy s4 up for a iPhone","NorthAmerica"
"2659",3,"Airhead32 I have a Galaxy S4 I like iPhones better Got a great deal for my phone tho","NorthAmerica"
"2660",0,"Anyone know how to watch the game on mobile Galaxy S4","Europe"
"2661",1,"Coping up on that galaxy S4 next week","Asia"
"2662",1,"HaliAnn9 lekingsbury you dont want a mini you want the galaxy s4 100 times better than an iPhone","Europe"
"2663",-1,"Shopping around Handsets on Vodafone Galaxy S4 White Frost See deals now httptcoJzluS0sRuB","Asia"
"2664",2,"If someone wants to buy my galaxy s4 its up for grabsits with us cellular","Europe"
"2665",1,"QUEENKiTTYKAT you have galaxy s4 I love it","Europe"
"2666",0,"This new s4 update is a pain in my ass galaxy","NorthAmerica"
"2667",3,"will you like this black s4 lens12X Telephoto Fixed Zoom Lens for Samsung Galaxy S4 i9500httptco8Dyj7n1IjE httptcoSwke5EWEGZ","Asia"
"2668",-1,"ATT when can Galaxy S4 users expect to see the Android 43 update Im anxious","Europe"
"2669",1,"When we went shopping yesterday my brother spent 300 on 4 things and now is going to get a brand new phone I think galaxy s4","NorthAmerica"
"2670",0,"Galaxy S4 I9505 Update underway to prepare for the arrival of Knox Presented at the Mobile World Congress httptcoYGqzBu8Q7D","Europe"
"2671",6,"iPhone 4S for 01 Samsung Galaxy S4 for only 9999 yes wed agree that we should be your goto option for smartphones in WI mke","Europe"
"2672",1,"US Cellular Quietly Releases The Samsung Galaxy S4 Mini 50 OnContract 500 Unsubsidized httptco7viyYTbCmn","NorthAmerica"
"2673",0,"I dont know if I want to buy the iPhone 5c 5s or leave team iPhone and try the galaxy s4 mini Any suggestions","Europe"
"2674",2,"rchavezfamilia awwwwwhhh time for a galaxy s4 for christmas hahaha","NorthAmerica"
"2675",0,"Samsung Galaxy S4 Att LNIB With Lots of Extras 43500 0 Bids End Date Sunday Dec12013 173449 PST Bid httptcomPownIgZvU","Europe"
"2676",1,"iPhone 5c iPhone 5s Galaxy s4 or Galaxy Note 3 Hmmmmmm what you think Twitter","Asia"
"2677",0,"My mom is getting herself the Galaxy S4 EarlyChristmasPresent","Europe"
"2678",0,"Extended battery with cover for Galaxy S4 smartphone httptcog88WenH8DD","Asia"
"2679",1,"Embarrassed about your mobile Want a new Galaxy S4 Mini Special offers httptcoJzluS0sRuB","NorthAmerica"
"2680",1,"Galaxy Note 3 Or Galaxy S4 Im So Undecided ","Europe"
"2681",2,"Currently waiting in line to get the Samsung Galaxy s4 for 096","Asia"
"2682",0,"My mom got a samsung galaxy s4 mini","NorthAmerica"
"2683",-1,"Controlled chaos at samsclub Everyone wants a 96cent Galaxy S4","NorthAmerica"
"2684",1,"Higher capacity battery upgrade with rear cover for Galaxy S4 httptcorDcfGUhH1w","Europe"
"2685",0,"Want the best value deal on O2 Samsung Galaxy S4 Apply now httptcoJzluS0sRuB","NorthAmerica"
"2686",1,"Otterbox Defender Series case for SGS4 httptco5NqmNFu4Xz","NorthAmerica"
"2687",2,"Got a Galaxy S4 today I wonder how long it will take me to regret that","Asia"
"2688",1,"Should i get an iphone 5c or a galaxy s4 h3lp","NorthAmerica"
"2689",1,"Otterbox Commuter case for SGS4 httptcoNoFyy7x5vO","Asia"
"2690",0,"Today I had a choice of either the Galaxy S4 or the iPhone 5S NoBrainer Galaxy","Asia"
"2691",2,"hillcalzoncit I loved it but then after a while it starts messing up I had the galaxy s4","Europe"
"2692",0,"Getting a new phone tomorrow IPhone 5s 5c or galaxy s4 Suggestions helpme","Asia"
"2693",-1,"Galaxy S4 2in1 case stand for those with small hands httptcoL1Ivb7gYvk","NorthAmerica"
"2694",0,"SabotagedLoove iPhone 5s or Galaxy s4 Decisions decisions lemme cop ya old shit","Asia"
"2695",0,"Sooo Im tryna get a Galaxy S4 ","NorthAmerica"
"2696",-1,"What is the infatuation with Black Friday shopping I dont feel like getting in a fight over the last Galaxy S4","Europe"
"2697",2," httptcosziDYI6WT8 48 Hunger Games The Hunger Games sequel is on fire google play cracked samsung galaxy s4 manual","Asia"
"2698",1,"Higher capacity battery upgrade with cover for Samsung Galaxy S4 httptcotugKzqe0Da","Europe"
"2699",1,"peta SAVE ANIMALS w your phone u might win a FREE iPhone 5s or Galaxy S4 Sign up today httptcop4jEwxlz3T","NorthAmerica"
"2700",5,"JBeck132 dont one of the girls here has one and well its similar to Iowa Unless you are hooked up to WiFi useless I like my Galaxy S4","Europe"
"2701",2,"Flexx10 should get me the galaxy s4 for christmas Hint Hint","Europe"
"2702",-1,"Im about to get this galaxy S4","Europe"
"2703",1,"Samsung Galaxy S4 desktop cradle perfect for nigtstands and office desks httptcosz0fF5FWPB","Europe"
"2704",1,"Samsung Galaxy S4 Device Storage Problem A Solution found in Gallery Hi Ive had a problem with my Sams httptco2IkAUUrgYA","Europe"
